Frame,time,RawF_1, F0_1, R_1
559,18.60000,22.79654,22.99631,-0.00848
560,18.63333,22.82597,22.99040,-0.00850
561,18.66667,22.96277,22.98137,-0.00735
562,18.70000,22.84069,22.96379,-0.00721
563,18.73333,22.85541,22.93970,-0.00678
564,18.76667,22.62771,22.92129,-0.00808
565,18.80000,22.94978,22.90431,-0.00648
566,18.83333,22.92467,22.89746,-0.00525
567,18.86667,22.82338,22.88500,-0.00493
568,18.90000,22.84242,22.87943,-0.00446
569,18.93333,22.80779,22.87284,-0.00430
570,18.96667,22.54805,22.84894,-0.00605
571,19.00000,22.70476,22.82895,-0.00613
572,19.03333,22.72641,22.82165,-0.00594
573,19.06667,22.87186,22.82165,-0.00464
574,19.10000,22.98268,22.82165,-0.00264
575,19.13333,22.88745,22.82165,-0.00171
576,19.16667,22.69524,22.81833,-0.00242
577,19.20000,22.84242,22.81679,-0.00184
578,19.23333,22.99221,22.81679,-0.00015
579,19.26667,23.08571,22.81679,0.00202
580,19.30000,23.00346,22.81679,0.00322
581,19.33333,23.02684,22.81679,0.00442
582,19.36667,23.00260,22.81679,0.00524
583,19.40000,23.05541,22.81679,0.00635
584,19.43333,23.15584,22.81679,0.00809
585,19.46667,22.81472,22.81679,0.00684
586,19.50000,22.93160,22.81679,0.00672
587,19.53333,22.99913,22.81679,0.00716
588,19.56667,22.90563,22.81679,0.00678
589,19.60000,23.00866,22.81679,0.00728
590,19.63333,22.90043,22.81679,0.00684
591,19.66667,22.90390,22.81679,0.00650
592,19.70000,23.00866,22.81679,0.00703
593,19.73333,22.94632,22.81679,0.00700
594,19.76667,22.87532,22.81679,0.00639
595,19.80000,22.82078,22.81679,0.00546
596,19.83333,22.79307,22.81679,0.00443
597,19.86667,22.75844,22.81679,0.00328
598,19.90000,22.78701,22.81679,0.00254
599,19.93333,22.66147,22.81679,0.00091
600,19.96667,22.80519,22.81679,0.00068
601,20.00000,23.02597,22.81679,0.00226
602,20.03333,22.71082,22.81679,0.00107
603,20.06667,22.76450,22.81679,0.00049
604,20.10000,22.75758,22.81679,-0.00006
605,20.13333,22.66234,22.81679,-0.00129
606,20.16667,22.70130,22.81679,-0.00202
607,20.20000,22.55584,22.81679,-0.00379
608,20.23333,22.85801,22.81679,-0.00288
609,20.26667,22.80000,22.81679,-0.00258
610,20.30000,22.71602,22.81423,-0.00298
611,20.33333,22.69870,22.80523,-0.00339
612,20.36667,22.74719,22.79386,-0.00325
613,20.40000,22.68312,22.78441,-0.00357
614,20.43333,22.48745,22.76631,-0.00527
615,20.46667,22.79307,22.75693,-0.00419
616,20.50000,22.95584,22.75693,-0.00195
617,20.53333,22.81039,22.75452,-0.00121
618,20.56667,22.95065,22.75452,0.00054
619,20.60000,23.06147,22.75452,0.00292
620,20.63333,23.01991,22.75452,0.00459
621,20.66667,22.93420,22.75452,0.00533
622,20.70000,22.85195,22.75452,0.00529
623,20.73333,22.85108,22.75452,0.00524
